name,taxid,ERR14789363,ERR14789354,ERR14789359,ERR14789366,ERR14789356,ERR14789361,ERR14789364,ERR14789353,ERR14789350,ERR14789367,ERR14789362,ERR14789355,ERR14789358,ERR14789365,ERR14789357,ERR14789360,ERR14789266,ERR14789263,ERR14789272,ERR14789259,ERR14789269,ERR14789264,ERR14789261,ERR14789270,ERR14789262,ERR14789273,ERR14789267,ERR14789260,ERR14789271,ERR14789268,ERR14789265,ERR14789310,ERR14789309,ERR14789315,ERR14789318,ERR14789312,ERR14789320,ERR14789317,ERR14789308,ERR14789314,ERR14789319,ERR14789311,ERR14789321,ERR14789316,ERR14789307,ERR14789313,ERR14789380,ERR14789372,ERR14789377,ERR14789382,ERR14789370,ERR14789375,ERR14789369,ERR14789378,ERR14789376,ERR14789381,ERR14789373,ERR14789374,ERR14789368,ERR14789379,ERR14789371,ERR14789288,ERR14789294,ERR14789285,ERR14789291,ERR14789296,ERR14789287,ERR14789282,ERR14789293,ERR14789290,ERR14789289,ERR14789295,ERR14789284,ERR14789283,ERR14789292,ERR14789297,ERR14789286,ERR14789183,ERR14789186,ERR14789179,ERR14789190,ERR14789176,ERR14789189,ERR14789184,ERR14789175,ERR14789178,ERR14789187,ERR14789182,ERR14789188,ERR14789177,ERR14789185,ERR14789336,ERR14789348,ERR14789345,ERR14789340,ERR14789334,ERR14789347,ERR14789339,ERR14789342,ERR14789341,ERR14789337,ERR14789344,ERR14789343,ERR14789335,ERR14789346,ERR14789338,ERR14789327,ERR14789322,ERR14789333,ERR14789328,ERR14789325,ERR14789331,ERR14789323,ERR14789332,ERR14789326,ERR14789330,ERR14789329,ERR14789324
                  Orthopoxvirus,10242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Simplexvirus,10294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Varicellovirus,10319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Cytomegalovirus,10358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Rhadinovirus,10379,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Mastadenovirus,10509,0.09,0.25,0.1,,0.47,0.85,,0.05,,,,,,,,,,,0.19,0.36,,0.15,0.36,0.22,0.17,,,0.06,,0.21,,,,,,,,1.67,,0.24,0.39,0.28,,,,,,,,,,,,,,,,,,,,,0.93,0.28,0.44,,18.36,,,0.12,0.29,0.28,,0.34,9.99,,0.9,,,,0.09,,,,,,0.15,,0.33,,,,,,0.48,0.11,,,,,,0.3,,,,,,,,,,,,0.08,0.04,,,
                  Aviadenovirus,10552,,,,,,,,,,,,,,,,,,,,0.07,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Tequatrovirus,10663,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,0.09,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Dependoparvovirus,10803,,0.21,0.08,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,0.13,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Rotavirus,10912,,,,,,,,,,,,,,,,,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
